ORGANIZATION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|NAME|LOCATION_ID|BUSINESS_GROUP_ID|SET_ID|LEGAL_ENTITY_ID|ESTABLISHMENT_ID|COST_ALLOCATION_KEYFLEX_ID|ACTION_OCCURENCE_ID|STATUS|INTERNAL_EXTERNAL_FLAG|INTERNAL_ADDRESS_LINE|ORGANIZATION_TYPE|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|SOURCE_LANG|ACTION_OCCURRENCE_ID1|CLASSIFICATION_CODE|LEGISLATION_CODE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTG_DEP_60|2000-03-08|4712-12-31|Сектор главного механика|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_60
KTG_DEP_61|2000-03-08|4712-12-31|Сектор главного энергетика|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_61
KTG_DEP_62|2000-03-08|4712-12-31|Сектор технической экспертизы  и экологии|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_62
KTG_DEP_63|2000-03-08|4712-12-31|Диспетчерский сектор|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_63
KTG_DEP_64|2000-03-08|4712-12-31|Отдел обустройства месторождения|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_64
KTG_DEP_65|2000-03-08|4712-12-31|Сектор по капитальному строительству|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_65
KTG_DEP_66|2000-03-08|4712-12-31|Сектор комплектации|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_66
KTG_DEP_67|2000-03-08|4712-12-31|Экспертно - аналитический отдел|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_67
KTG_DEP_68|2000-03-08|4712-12-31|Административно - хозяйственный отдел|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_68
KTG_DEP_70|2000-03-08|4712-12-31|Южно-Казахстанский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_70
KTG_DEP_72|2000-03-08|4712-12-31|Западно-Казахстанский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_72
KTG_DEP_74|2000-03-08|4712-12-31|Актюбинский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_74
KTG_DEP_76|2000-03-08|4712-12-31|Атырауский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_76
KTG_DEP_77|2000-03-08|4712-12-31|Хозяйственный отдел|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_77
KTG_DEP_80|2000-03-08|4712-12-31|Управление планирования денежных потоков|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_80
KTG_DEP_81|2000-03-08|4712-12-31|Управление корпоративного развития и индикативного планирования|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_81
KTG_DEP_82|2000-03-08|4712-12-31|Управление бюджетного планирования и экономического анализа|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_82
KTG_DEP_83|2000-03-08|4712-12-31|Управление активов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_83
KTG_DEP_84|2000-03-08|4712-12-31|Аппарат Генерального директора|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_84
KTG_DEP_85|2000-03-08|4712-12-31|Жамбылский филиал ЗАО "КазТрансГаз" в г. Тараз - Дирекция строящегося предприятия "Амангельды"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_85
