JOB_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|JOB_CODE|NAME|SET_ID|BUSINESS_GROUP_ID|JOB_FAMILY_ID|BENCHMARK_JOB_ID|ACTION_OCCURRENCE_ID|ACTIVE_STATUS|BENCHMARK_JOB_FLAG|MED_CHECKUP_REQ|REGULAR_TEMPORARY|FULL_PART_TIME|JOB_FUNCTION_CODE|MANAGER_LEVEL|APPROVAL_AUTHORITY|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
JOB_60066419|2000-03-09|4712-12-31|JOB_CODE_60066419|Управляющий директор по сбыту|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_60066419
JOB_59800270|2000-03-09|4712-12-31|JOB_CODE_59800270|Независимый директор|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_59800270
JOB_593831716|2000-03-09|4712-12-31|JOB_CODE_593831716|Уборщица офиса|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3696883719|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_593831716
JOB_593475975|2000-03-09|4712-12-31|JOB_CODE_593475975|Заместитель директора по экономике и финансам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_593475975
JOB_584116898|2000-03-09|4712-12-31|JOB_CODE_584116898|Руководитель канцелярии|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_706094967|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_584116898
JOB_580807975|2000-03-09|4712-12-31|JOB_CODE_580807975|Старший диспетчер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_580807975
JOB_573534958|2000-03-09|4712-12-31|JOB_CODE_573534958|Менеджер по контрактам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_573534958
JOB_565398345|2000-03-09|4712-12-31|JOB_CODE_565398345|Директор Представительства|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_565398345
JOB_549931876|2000-03-09|4712-12-31|JOB_CODE_549931876|Заместитель директора по экономике и финасам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_2543482178|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_549931876
JOB_545503922|2000-03-09|4712-12-31|JOB_CODE_545503922|Офис-менеджер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_545503922
JOB_524184087|2000-03-09|4712-12-31|JOB_CODE_524184087|Дворник|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3696883719|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_524184087
JOB_519080483|2000-03-09|4712-12-31|JOB_CODE_519080483|Заместитель директора департамента- начальник отдела бюджетного планирования и экономического анализа|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_519080483
JOB_517057340|2000-03-09|4712-12-31|JOB_CODE_517057340|Главный специалитс по капитальному строительству|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_517057340
JOB_516796903|2000-03-09|4712-12-31|JOB_CODE_516796903|000_Должность для замены|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_516796903
JOB_514775178|2000-03-09|4712-12-31|JOB_CODE_514775178|Помощник председателя Совета директоров|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_706094967|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_514775178
JOB_510267950|2000-03-09|4712-12-31|JOB_CODE_510267950|Заместитель начальника|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_510267950
JOB_494845355|2000-03-09|4712-12-31|JOB_CODE_494845355|Исполнительный директор по корпоративному развитию|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_494845355
JOB_483178619|2000-03-09|4712-12-31|JOB_CODE_483178619|Менеджер по кадровой работе|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_483178619
JOB_474748457|2000-03-09|4712-12-31|JOB_CODE_474748457|Системный администратор|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_474748457
