ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|FFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_P365|ASSIG365||2003-08-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P366|ASSIG366||2003-08-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P367|ASSIG367||2003-08-27|4712-12-31|FTE|1||
|Y|ASG_FTE_P368|ASSIG368||2003-08-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P369|ASSIG369||2003-09-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P370|ASSIG370||2003-09-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P371|ASSIG371||2003-09-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P372|ASSIG372||2003-09-22|4712-12-31|FTE|1||
|Y|ASG_FTE_P373|ASSIG373||2003-10-07|4712-12-31|FTE|1||
|Y|ASG_FTE_P374|ASSIG374||2003-10-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P375|ASSIG375||2003-10-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P376|ASSIG376||2003-11-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P377|ASSIG377||2004-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P379|ASSIG379||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P380|ASSIG380||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P381|ASSIG381||2004-01-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P382|ASSIG382||2004-01-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P383|ASSIG383||2004-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P384|ASSIG384||2004-02-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P385|ASSIG385||2004-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P386|ASSIG386||2004-02-25|4712-12-31|FTE|1||
|Y|ASG_FTE_P387|ASSIG387||2004-02-25|4712-12-31|FTE|1||
|Y|ASG_FTE_P525|ASSIG525||2002-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P526|ASSIG526||2002-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P527|ASSIG527||2002-07-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P528|ASSIG528||2002-07-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P529|ASSIG529||2002-07-22|4712-12-31|FTE|1||
|Y|ASG_FTE_P530|ASSIG530||2002-07-18|4712-12-31|FTE|1||
|Y|ASG_FTE_P531|ASSIG531||2002-07-26|4712-12-31|FTE|1||
|Y|ASG_FTE_P532|ASSIG532||2002-07-31|4712-12-31|FTE|1||
