POSITION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|BUSINESS_UNIT_ID|POSITION_CODE|BUSINESS_GROUP_ID|ORGANIZATION_ID|JOB_ID|LOCATION_ID|ENTRY_GRADE_ID|ENTRY_STEP_ID|ACTIVE_STATUS|SUPERVISOR_ID|SUPERVISOR_ASSIGNMENT_ID|ACTION_OCCURRENCE_ID|PERMANENT_TEMPORARY_FLAG|FTE|HIRING_STATUS|FULL_PART_TIME|FREQUENCY|TIME_NORMAL_START|TIME_NORMAL_FINISH|POSITION_TYPE|PROBATION_PERIOD_UNIT_CD|BARGAINING_UNIT_CD|MAX_PERSONS|WORKING_HOURS|OVERLAP_ALLOWED|SEASONAL_FLAG|PROBATION_PERIOD|SEASONAL_END_DATE|SECURITY_CLEARANCE|SEASONAL_START_DATE|ATTRIBUTE_CATEGORY|NAME|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTGA_POS_530|2009-05-13|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_530|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_67|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||7|40||N||||||Менеджер Производственно-технический департамент|POSITION_DATA|KTGA_POS_530
KTGA_POS_529|2009-05-13|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_529|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_67|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||3|40||N||||||Главный менеджер Производственно-технический департамент|POSITION_DATA|KTGA_POS_529
KTGA_POS_545|2009-05-13|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_545|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_72|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Менеджер Департамент планирования денежных потоков|POSITION_DATA|KTGA_POS_545
KTGA_POS_526|2009-05-13|2015-01-25|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_526|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_90|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||5|40||N||||||Менеджер Департамент маркетинга и контрактов|POSITION_DATA|KTGA_POS_526
KTGA_POS_525|2009-05-13|2015-01-25|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_525|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_90|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||3|40||N||||||Главный менеджер Департамент маркетинга и контрактов|POSITION_DATA|KTGA_POS_525
KTGA_POS_561|2009-07-15|2014-08-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_561|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_110|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Менеджер Департамент промышленной безопасности, охраны труда и экологии|POSITION_DATA|KTGA_POS_561
KTGA_POS_560|2009-07-15|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_560|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_110|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент промышленной безопасности, охраны труда и экологии|POSITION_DATA|KTGA_POS_560
KTGA_POS_591|2009-12-20|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_591|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_140|KTGA_JOB_212|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Менеджер по регионам Отдел труда и заработной платы|POSITION_DATA|KTGA_POS_591
KTGA_POS_585|2009-12-20|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_585|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_140|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Главный менеджер Отдел труда и заработной платы|POSITION_DATA|KTGA_POS_585
KTGA_POS_584|2009-12-20|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_584|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_140|KTGA_JOB_242|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Начальник Отдел труда и заработной платы|POSITION_DATA|KTGA_POS_584
KTGA_POS_589|2009-12-20|2014-10-30|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_589|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_141|KTGA_JOB_556|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||5|40||N||||||Программист Департамент информационных технологий|POSITION_DATA|KTGA_POS_589
KTGA_POS_588|2009-12-20|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_588|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_141|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент информационных технологий|POSITION_DATA|KTGA_POS_588
