PROFILE_ITEM_ID|PROFILE_ID|BUSINESS_GROUP_ID|CONTENT_TYPE_ID|CONTENT_ITEM_ID|SOURCE_TYPE|SOURCE_KEY_1|SOURCE_KEY_2|SOURCE_KEY_3|SOURCE_ID|MANDATORY|ITEM_TEXT240_3|ITEM_TEXT240_1|ITEM_TEXT240_2|RATING_MODEL_ID_2|RATING_MODEL_ID_3|QUALIFIER_ID_1|RATING_LEVEL_ID_2|RATING_MODEL_ID_1|ITEM_TEXT240_7|RATING_LEVEL_ID_1|ITEM_TEXT240_6|IMPORTANCE|RATING_LEVEL_ID_3|ITEM_TEXT240_4|QUALIFIER_ID_2|ITEM_TEXT240_5|PARENT_PROFILE_ITEM_ID|INTEREST_LEVEL|ITEM_TEXT240_8|ITEM_TEXT240_9|ITEM_TEXT240_10|ITEM_TEXT240_11|ITEM_TEXT240_12|ITEM_TEXT240_13|ITEM_TEXT240_14|ITEM_TEXT240_15|ITEM_TEXT2000_1|ITEM_TEXT2000_2|ITEM_TEXT2000_3|ITEM_TEXT2000_4|ITEM_TEXT2000_5|ITEM_TEXT30_1|ITEM_TEXT30_2|ITEM_TEXT30_3|ITEM_TEXT30_4|ITEM_TEXT30_5|ITEM_TEXT30_6|ITEM_TEXT30_7|ITEM_TEXT30_8|ITEM_TEXT30_9|ITEM_TEXT30_10|ITEM_TEXT30_11|ITEM_TEXT30_12|ITEM_TEXT30_13|ITEM_TEXT30_14|ITEM_TEXT30_15|ITEM_DATE_1|ITEM_DATE_2|ITEM_DATE_3|ITEM_DATE_4|ITEM_DATE_5|ITEM_DATE_6|ITEM_DATE_7|ITEM_DATE_8|ITEM_DATE_9|ITEM_DATE_10|ITEM_NUMBER_1|ITEM_NUMBER_2|ITEM_NUMBER_3|ITEM_NUMBER_4|ITEM_NUMBER_5|ITEM_NUMBER_6|ITEM_NUMBER_7|ITEM_NUMBER_8|ITEM_NUMBER_9|ITEM_NUMBER_10|ITEM_DECIMAL_1|ITEM_DECIMAL_2|ITEM_DECIMAL_3|ITEM_DECIMAL_4|ITEM_DECIMAL_5|DATE_FROM|DATE_TO|COUNTRY_ID|STATE_PROVINCE_ID
KTG_P_W_32|PROFILE_4067212841|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Национальный Банк Республики Казахстан|Начальник||||||||||||||||Начальник|Начальник||||||||||||||||||ADMIN|||||||||1996-03-01|1997-03-27||||||||||||||||||||||||2015-06-02|||
KTG_P_W_33|PROFILE_4067212841|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Мин. экономики и торговли Республики Казахстан|Заместитель министра (Вице - министр)||||||||||||||||Заместитель министра (Вице - министр)|Заместитель министра (Вице - министр)||||||||||||||||||ADMIN|||||||||1997-03-18|1998-01-05||||||||||||||||||||||||2015-06-02|||
KTG_P_W_34|PROFILE_4067212841|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО "Банк Туран Алем"|Заместитель председателя Правления ЗАО "БанкТуранАлем"||||||||||||||||Заместитель председателя Правления ЗАО "БанкТуранАлем"|Заместитель председателя Правления ЗАО "БанкТуранАлем"||||||||||||||||||ADMIN|||||||||1997-10-27|1998-04-15||||||||||||||||||||||||2015-06-02|||
KTG_P_W_35|PROFILE_4067212841|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Аппарат акима Костанайской области|Заместитель акима||||||||||||||||Заместитель акима|Заместитель акима||||||||||||||||||ADMIN|||||||||1998-09-17|1999-02-25||||||||||||||||||||||||2015-06-02|||
KTG_P_W_36|PROFILE_4067212841|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Аппарат акима г. Костанай|Аким г. Костанай||||||||||||||||Аким г. Костанай|Аким г. Костанай||||||||||||||||||ADMIN|||||||||1999-02-25|2000-06-21||||||||||||||||||||||||2015-06-02|||
KTG_P_W_37|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Служба в Соетской Армии|Рядовой||||||||||||||||Рядовой|Рядовой||||||||||||||||||ADMIN|||||||||1983-10-20|1985-12-10||||||||||||||||||||||||2015-06-02|||
KTG_P_W_38|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Лениногорский полиметаллический комбинат|Слесарь по ремонту автомобилей||||||||||||||||Слесарь по ремонту автомобилей|Слесарь по ремонту автомобилей||||||||||||||||||ADMIN|||||||||1986-01-29|1986-06-30||||||||||||||||||||||||2015-06-02|||
KTG_P_W_39|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Лениногорский полиметаллический комбинат.|Термист нагревательных печей||||||||||||||||Термист нагревательных печей|Термист нагревательных печей||||||||||||||||||ADMIN|||||||||1986-10-03|1987-08-24||||||||||||||||||||||||2015-06-02|||
KTG_P_W_40|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||КазГУ им. Аль - Фараби|Студент||||||||||||||||Студент|Студент||||||||||||||||||ADMIN|||||||||1987-08-26|1992-06-25||||||||||||||||||||||||2015-06-02|||
KTG_P_W_41|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Правозащитная организация "Grata"|Специалист по вопросам права||||||||||||||||Специалист по вопросам права|Специалист по вопросам права||||||||||||||||||ADMIN|||||||||1992-08-01|1993-01-27||||||||||||||||||||||||2015-06-02|||
KTG_P_W_42|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Минестерство геологии и охраны недр РК|Ведущий юрисконсульт||||||||||||||||Ведущий юрисконсульт|Ведущий юрисконсульт||||||||||||||||||ADMIN|||||||||1993-02-20|1993-05-17||||||||||||||||||||||||2015-06-02|||
KTG_P_W_43|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Калининский филиал КРАМДС Банка|Юрисконсульт, старш. юрисконсульт, главный юрисконсульт||||||||||||||||Юрисконсульт, старш. юрисконсульт, главный юрисконсульт|Юрисконсульт, старш. юрисконсульт, главный юрисконсульт||||||||||||||||||ADMIN|||||||||1993-05-17|1995-11-06||||||||||||||||||||||||2015-06-02|||
KTG_P_W_44|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Национальный государственный банк РК|Ведущий юрисконсульт||||||||||||||||Ведущий юрисконсульт|Ведущий юрисконсульт||||||||||||||||||ADMIN|||||||||1995-11-27|1996-05-13||||||||||||||||||||||||2015-06-02|||
KTG_P_W_45|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ТОО "Казахойл - коммерция"|Директор||||||||||||||||Директор|Директор||||||||||||||||||ADMIN|||||||||1996-05-14|1999-08-31||||||||||||||||||||||||2015-06-02|||
KTG_P_W_46|PROFILE_3510198544|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ТОО "Юридическая фирма "Брайт"|Генеральный директор||||||||||||||||Генеральный директор|Генеральный директор||||||||||||||||||ADMIN|||||||||1999-09-01|2000-03-16||||||||||||||||||||||||2015-06-02|||
KTG_P_W_47|PROFILE_3925209735|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Военторг, Магазин "Детский мир"|Рабочий||||||||||||||||Рабочий|Рабочий||||||||||||||||||ADMIN|||||||||1988-09-01|1989-06-14||||||||||||||||||||||||2015-06-02|||
KTG_P_W_48|PROFILE_3925209735|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||КазГУ им. Аль - Фараби|Студент||||||||||||||||Студент|Студент||||||||||||||||||ADMIN|||||||||1989-08-29|1994-05-31||||||||||||||||||||||||2015-06-02|||
KTG_P_W_49|PROFILE_3925209735|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Торговый Дом Казахстана в Англии|Юрист||||||||||||||||Юрист|Юрист||||||||||||||||||ADMIN|||||||||1993-02-18|1995-02-21||||||||||||||||||||||||2015-06-02|||
KTG_P_W_50|PROFILE_3925209735|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ЭКСИМБАНК КАЗАКСТАН|Специалист, главный специалист, нач.отдела, Зам. нач. управления, Зам. директора - нач. управл.||||||||||||||||Специалист, главный специалист, нач.отдела, Зам. нач. управления, Зам. директора - нач. управл.|Специалист, главный специалист, нач.отдела, Зам. нач. управления, Зам. директора - нач. управл.||||||||||||||||||ADMIN|||||||||1995-02-22|2000-07-24||||||||||||||||||||||||2015-06-02|||
KTG_P_W_51|PROFILE_1451511409|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||8 - летняя школа|Учитель.||||||||||||||||Учитель.|Учитель.||||||||||||||||||ADMIN|||||||||1967-10-19|1968-07-06||||||||||||||||||||||||2015-06-02|||
